Centerline_X,Centerline_Y,Centerline_Z,CrossCenter_X,CrossCenter_Y,CrossCenter_Z,Length,Tortuosity,MaximumInscribedSphereRadius,Curvature,Torsion,EdgePCoordArray,EdgeArray_0,EdgeArray_1,FrenetTangent_X,FrenetTangent_Y,FrenetTangent_Z,FrenetNormal_X,FrenetNormal_Y,FrenetNormal_Z,FrenetBinormal_X,FrenetBinormal_Y,FrenetBinormal_Z,CenterlineSectionArea,CenterlineSectionMinSize,CenterlineSectionMaxSize,CenterlineSectionShape,CenterlineSectionClosed
397.9884338378906,346.74151611328125,-617.55029296875,397.4809662914382,346.6455022727047,-617.6071519497392,238.79870318612555,2.3785211876282135,13.009998754573267,0.028821884616635436,-0.029367917619111082,0.0,200060,200060,0.01142393560493963,0.4449699760740163,-0.8954726205127567,0.982622378201282,-0.17091613189796195,-0.07239432101411968,-0.18526401580811944,-0.8790844079209503,-0.43918999100266504,575.1373678569244,28.054690289252633,28.28338188557028,0.991914276827188,1
397.9931335449219,346.87542724609375,-617.8203125,397.5179608187742,346.7965978438251,-617.8724465140087,239.1001411167079,2.381860380690037,13.010324760399927,0.026823863948807675,-0.12808427807592276,0.9960000000000008,200060,202774,0.019754715133443908,0.44385909065571705,-0.8958788193010684,0.9954501038897452,-0.09227283465482823,-0.023765829475496495,-0.09321395762380294,-0.8913331765546724,-0.44366240146880287,574.6706778574146,28.023692295179607,28.2130835645481,0.9932871120260504,1
398.00054931640625,347.01373291015625,-618.0997314453125,397.5710628258598,346.9489673823299,-618.1446262558148,239.41200390284635,2.385299925194717,13.010326069660275,0.025056049015420006,0.15767134439464223,0.0,202774,202774,0.027825997251282045,0.4430128650161083,-0.8960833194001498,0.9928810705083564,-0.11610845545264878,-0.02657078091777906,-0.11581404795253458,-0.8889648069539197,-0.4430899212284436,574.1044848944546,27.989175238986093,28.143166460851226,0.9945282908346741,1
398.0108642578125,347.15771484375,-618.3912963867188,397.9355834289921,346.9346385611416,-618.5052122361457,239.7373457388817,2.3888725499484216,13.03106503058928,0.021172374157163318,0.17281765403115287,0.0,202776,202776,0.03524095695230102,0.44183921872404414,-0.8964017959321658,0.9781709079602526,-0.19905403691673584,-0.059658739572387064,-0.20479196706243433,-0.8747317275510685,-0.43920912449791133,573.4780313849983,27.941528579018915,28.135462481481,0.9931071364975879,1
398.0240478515625,347.308349609375,-618.6974487304688,397.70619981581626,347.25857862773995,-618.7366809746869,240.07880422441497,2.392608675599366,13.034670088085022,0.018079455110725003,0.0284267805087551,0.0,202804,202804,0.041777256834539714,0.4404690759687498,-0.896795212925792,0.9757993475500065,-0.21081224852406577,-0.05808467261859385,-0.2146399173787639,-0.8726655653728197,-0.43861659439671696,572.7286220448856,27.87078100572203,28.03371360605329,0.9941879765691807,1
398.0401306152344,347.4662780761719,-619.01953125,397.7664620285791,347.4274814971384,-619.0538291073626,240.43788249624401,2.396521115754977,13.03781908974073,0.014826756723068366,0.14832999106375747,0.0,202802,202802,0.047509932756966015,0.43919740630654275,-0.8971334597388697,0.9733664342623796,-0.22201887388730368,-0.05714371609507432,-0.2242779323535186,-0.8705247026543353,-0.43804811508304814,571.8161688115681,27.847469669190268,27.98728587698026,0.9950042955789081,1
398.05902099609375,347.63165283203125,-619.3578491210938,397.91002065171295,347.5649464304814,-619.3971242630503,240.8149297588862,2.4006090692179276,13.040185800327063,0.01179290953185328,0.26912628469684274,0.0,202755,202755,0.052281410856564035,0.4378419744936926,-0.8975305339933076,0.9384449614097914,-0.32884206209440026,-0.10575420843672349,-0.34144942302399994,-0.8367540281163678,-0.4280829218125972,570.7874410165612,27.761052814207396,27.93337123369448,0.9938310912046583,1
398.0804443359375,347.80389404296875,-619.7116088867188,397.82982685286834,347.8067303782535,-619.7244742717173,241.20897539838793,2.4048613931922915,13.048773072284913,0.010119797768851168,0.20167877768083708,0.21600000000000016,202826,193871,0.05626000940832671,0.43631918107349593,-0.8980313934204799,0.9148716166388443,-0.3827072135844518,-0.12862781090826483,-0.3998058734060851,-0.814346830839157,-0.42070714599614156,569.6561333194995,26.40551472000233,27.86557322114806,0.9476035002202056,1
398.10418701171875,347.98193359375,-620.0787963867188,397.6836398865162,348.0437249354043,-620.0763612705623,241.61773994730564,2.409250884879225,13.05486334006934,0.00895297915101316,0.3447066902727235,0.0,199735,199735,0.059720186607404996,0.43468342977005137,-0.8986010322690051,0.8700112179834775,-0.4640166961555341,-0.16664029006158465,-0.48940165497726207,-0.7718411893467773,-0.4058906238548378,568.3487482462069,26.434653181060348,27.77233569631168,0.9518339930109305,1
398.12994384765625,348.1641845703125,-620.4564208984375,398.1473248451487,348.0736004657086,-620.4998454241704,242.03783410925783,2.4137402291246803,13.064942019658229,0.007622616729006223,0.4767184436597467,0.0,190855,190855,0.06253843573780747,0.43283654256760007,-0.899300545687366,0.7525866565025582,-0.6122729534385573,-0.24235336791950485,-0.6555167949868017,-0.6616451903443056,-0.36403759913569206,566.9537069457347,26.45590769921514,27.67381379302604,0.955990666739334,1
398.1571960449219,348.34881591796875,-620.841064453125,398.1756671453703,348.2817488148076,-620.8713682121753,242.46536431983458,2.4182887807441404,13.06499759413041,0.008374808022458739,0.47619836029213686,0.0,196011,196011,0.06490563846640199,0.43058222734944046,-0.9002145319789409,0.6446293617759569,-0.7067177509455971,-0.2915527506896817,-0.7617350221905196,-0.5613813017808768,-0.3234359132490034,565.5490362881062,26.458512887262362,27.56622048373324,0.9598164863723507,1
398.1856384277344,348.5336608886719,-621.2288818359375,398.106579322633,348.53269988517593,-621.2348399508206,242.89592088376762,2.422854903142718,13.073289139847967,0.008720606769125236,0.5609252834353312,0.0,199992,199992,0.06685431272273996,0.4277612019888419,-0.9014160276717025,0.42390684889722163,-0.8300230555206067,-0.36244269997099376,-0.9032350105749877,-0.357885570227827,-0.23682152413643667,564.2090646419515,26.486822680261827,27.458995478915284,0.9645954711125557,1
398.2147216796875,348.7168884277344,-621.61669921875,398.13307391186055,348.72958097438266,-621.6224742585268,243.3258284192059,2.4274060342581643,13.082974587309527,0.009975468046175317,0.41151548696610346,0.9240000000000007,199989,199978,0.06814152345366649,0.4243164112130508,-0.9029464635052793,0.23103625950200243,-0.8871595230209368,-0.39946242314964653,-0.9705560156821122,-0.18139339538291097,-0.1584848779370515,562.9749728174969,26.51005877959959,27.354976104046393,0.9691128472847825,1
