Centerline_X,Centerline_Y,Centerline_Z,CrossCenter_X,CrossCenter_Y,CrossCenter_Z,MaximumInscribedSphereRadius,Curvature,Torsion,EdgeArray_0,EdgeArray_1,EdgePCoordArray,FrenetTangent_X,FrenetTangent_Y,FrenetTangent_Z,FrenetNormal_X,FrenetNormal_Y,FrenetNormal_Z,FrenetBinormal_X,FrenetBinormal_Y,FrenetBinormal_Z,CenterlineSectionArea,CenterlineSectionMinSize,CenterlineSectionMaxSize,CenterlineSectionShape,CenterlineSectionClosed
371.35943603515625,276.14459228515625,-699.1224975585938,375.13916721861955,275.02187399271463,-694.4948745841748,4.229758638971249,0.0,0.0,122559,122559,0.0,-0.7632578948586612,0.044327485534217656,0.6445715320754853,0.6332160069790138,-0.14687198956782846,0.7599119075168789,0.1283544874224441,0.9881617745625468,0.0840323321818467,623.3139093641391,12.650186801144393,33.61138769422284,0.37636609699749823,1
370.9982604980469,276.1659851074219,-698.8223876953125,374.2371486567972,274.6722419586496,-694.8866117001139,4.383841549733104,0.03328193235764777,0.0,122559,122362,0.9960000000000008,-0.7632578948586612,0.044327485534217656,0.6445715320754853,0.6332160069790138,-0.14687198956782846,0.7599119075168789,0.1283544874224441,0.9881617745625468,0.0840323321818467,631.5342572152721,13.040613569916136,33.57092433263681,0.38844964293218404,1
370.6311340332031,276.1868896484375,-698.5074462890625,373.59592027657754,276.7350572508994,-695.1811564364327,4.3844603566036335,0.056372289850751905,-0.039438683931162274,122362,122362,0.0,-0.7490762303606491,0.04074306089085774,0.6612297664941618,0.6469409806462151,-0.1699473294793784,0.7433607958208054,0.14266102715595927,0.9846105362995418,0.10094514915901201,630.4665738739423,13.919879394820978,33.470526822763105,0.41588468172404597,1
370.2542724609375,276.2064514160156,-698.1656494140625,374.67245468972374,274.4660553171858,-693.3785953841057,4.669533483217979,0.07114820021703123,-0.05145719212867134,121672,121672,0.0,-0.7274180783567852,0.034732914747021094,0.6853149377570127,0.6681957231407587,-0.19138873305596776,0.7189470275587972,0.15613268349746798,0.9808995756408541,0.1160112393325397,630.2098151640289,15.089284167000695,33.34020149862343,0.45258527209632227,1
369.8660888671875,276.2234191894531,-697.7866821289062,373.47876949076476,274.6714187047544,-694.1852413127014,4.945066663921304,0.07794365613306956,-0.06679299697686311,122658,122658,0.0,-0.6997049870569573,0.026136142994292306,0.7139536631441883,0.6914945124972162,-0.22641398808907984,0.6859825399992594,0.17957803394029165,0.9736804445129725,0.14034999714698798,629.5483632698175,16.26608684805286,33.20974358276155,0.48979862815009,1
369.4674987792969,276.23583984375,-697.3628540039062,372.98898848146496,276.486388564934,-694.2038113594206,5.6765247886408865,0.07953799894276592,-0.08275773820125026,122724,122726,0.048000000000000015,-0.6674303767970418,0.014689952130475267,0.7445272979783636,0.7145739567733936,-0.2687407469914397,0.6458811587340967,0.20957278551800343,0.9631005223822109,0.1688686808065296,628.7783414906919,17.52842262663424,33.1100806136443,0.5293983675597265,1
369.0618896484375,276.2411193847656,-696.8895874023438,374.640555053773,274.6577547293539,-692.3377100417861,5.747281291852146,0.078246039914745,-0.1005390588596127,122755,122755,0.0,-0.6319093889386624,2.371320132612813e-05,0.7750422721431718,0.732876057609371,-0.32532798522973694,0.5975402799889777,0.25215711045717537,0.9456012380829691,0.20556042951366804,629.177117364222,18.829631715723213,33.05489118444868,0.5696473665773851,1
368.6542663574219,276.2358703613281,-696.3654174804688,373.8298358487336,274.15024171258324,-692.5805089241458,6.841580303148194,0.07542120865907456,-0.12061691618775326,116763,116763,0.0,-0.5943991585602233,-0.018285078097937744,0.8039622480078593,0.7438729830356823,-0.39232364045935153,0.5410500404272391,0.305520253686223,0.9196454844426051,0.2467986173620755,630.9370537202395,26.232218178786738,33.06025620465819,0.7934668750416586,1
368.2503967285156,276.2161560058594,-695.7919921875,373.0286508389922,277.10340389303906,-692.5483012312549,7.271650384183518,0.07187322832006227,-0.14456196859848816,122835,120824,0.6400000000000005,-0.5562362275004235,-0.040661848110677135,0.8300288388509891,0.741280462816849,-0.47575506385993366,0.47345580010986094,0.37563883540195264,0.8786374299560966,0.2947740355221437,633.6017441087894,28.96287093844154,33.135149203751844,0.8740830095662318,1
367.85565185546875,276.177490234375,-695.1737060546875,373.42793736539153,277.26071304040806,-691.6960749169348,7.639309137403589,0.06858646274675068,-0.16096669550628373,120289,120824,0.1520000000000001,-0.518728476118732,-0.06754404532126482,0.8522667246849294,0.7211308683073177,-0.570036687601384,0.3937365179441403,0.4592287434796218,0.8188381871469363,0.34440235834274807,635.8621699172328,29.30482065155745,33.27439967459615,0.8807017087653325,1
